,Item,Price,url
272,Men's fasionable moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
273,Men's Trendy Slip on Sneakers,"Rs.3,199.00",https://www.servis.pk/collections/men
274,Men's All-day Sneakers,"Rs.7,499.00",https://www.servis.pk/collections/men
275,Men's Stylish Sneakers,"Rs.7,499.00",https://www.servis.pk/collections/men
276,Everyday sneakers for Men,"Rs.4,499.00",https://www.servis.pk/collections/men
277,Men's Trendy Slip on Sneakers,"Rs.3,199.00",https://www.servis.pk/collections/men
278,Men's Trendy Slip on Sneakers,"Rs.3,199.00",https://www.servis.pk/collections/men
279,Men's Trendy Slip on Sneakers,"Rs.3,199.00",https://www.servis.pk/collections/men
280,Men's classic sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
281,Men's classic sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
282,Everyday sneakers for Men,"Rs.4,499.00",https://www.servis.pk/collections/men
283,Men's Slip-on Sneakers,"Rs.2,799.00",https://www.servis.pk/collections/men
284,Men's Slip-on Sneakers,"Rs.2,799.00",https://www.servis.pk/collections/men
285,Men's everday sneakers,"Rs.4,499.00",https://www.servis.pk/collections/men
286,Men's everday sneakers,"Rs.4,499.00",https://www.servis.pk/collections/men
287,Men's running sneakers,"Rs.4,499.00",https://www.servis.pk/collections/men
288,Men's running sneakers,"Rs.4,499.00",https://www.servis.pk/collections/men
289,Youth Stylish Sneakers,"Rs.3,699.00",https://www.servis.pk/collections/men
290,Basic casual shoes for men,"Rs.6,999.00",https://www.servis.pk/collections/men
291,Formal lace-up shoes for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
292,Men's casual moccs,"Rs.2,999.00",https://www.servis.pk/collections/men
293,Men's fasionable moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
294,Men's smart casual moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
295,Men's smart casual moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
296,Men's Smart Athletic Sneakers,"Rs.5,499.00",https://www.servis.pk/collections/men
297,Men's Smart Athletic Sneakers,"Rs.5,499.00",https://www.servis.pk/collections/men
298,Men's everyday moccs,"Rs.3,999.00",https://www.servis.pk/collections/men
299,Formal lace-up shoes for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
300,Men's Formal Slip-On,"Rs.2,999.00",https://www.servis.pk/collections/men
301,Fashionable Moccs for Men,"Rs.2,499.00",https://www.servis.pk/collections/men
302,Formal lace-up shoes for Men,"Rs.3,499.00",https://www.servis.pk/collections/men
303,Men's fasionable moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
304,leather slip-on for Men,"Rs.8,499.00",https://www.servis.pk/collections/men
305,Men's leather dress slip-on,"Rs.7,999.00",https://www.servis.pk/collections/men
306,Men's leather dress slip-on,"Rs.7,999.00",https://www.servis.pk/collections/men
307,Bluckle styled Men's moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
308,Bluckle styled Men's moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
309,Buckled slip-on for Men,"Rs.3,999.00",https://www.servis.pk/collections/men
310,Buckled slip-on for Men,"Rs.3,999.00",https://www.servis.pk/collections/men
311,Men's lace-up shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
312,Everyday Men's slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
313,Leather Slip-on for Men,"Rs.8,499.00",https://www.servis.pk/collections/men
314,Leather Slip-on for Men,"Rs.8,499.00",https://www.servis.pk/collections/men
315,leather slip-on for Men,"Rs.8,499.00",https://www.servis.pk/collections/men
316,Men's everyday moccs,"Rs.4,499.00",https://www.servis.pk/collections/men
317,Men's everyday moccs,"Rs.4,499.00",https://www.servis.pk/collections/men
318,Men's Leather Dress Slip-on,"Rs.7,999.00",https://www.servis.pk/collections/men
319,Men's formal lace-up shoes,"Rs.2,499.00",https://www.servis.pk/collections/men
320,Men's formal lace-up shoes,"Rs.2,499.00",https://www.servis.pk/collections/men
321,Men's side buckle moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
322,Men's side buckle moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
323,Basic eveyday men's moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
324,Basic eveyday men's moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
325,Classic Moocs for men,"Rs.3,499.00",https://www.servis.pk/collections/men
326,Classic Moocs for men,"Rs.3,499.00",https://www.servis.pk/collections/men
327,Men's stylish slip-on,"Rs.3,999.00",https://www.servis.pk/collections/men
328,All-day wear moccs for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
329,All-day wear moccs for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
330,All-day wear moccs for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
331,All-day wear moccs for Men,"Rs.2,999.00",https://www.servis.pk/collections/men
332,Men's Elegant moccs,"Rs.4,499.00",https://www.servis.pk/collections/men
333,Men's stylish sneakers,"Rs.11,999.00",https://www.servis.pk/collections/men
334,Men's running sneakers,"Rs.11,999.00",https://www.servis.pk/collections/men
335,Men's stylish sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
336,Dress sneakers for men,"Rs.8,999.00",https://www.servis.pk/collections/men
337,Dress sneakers for men,"Rs.8,999.00",https://www.servis.pk/collections/men
338,Men's trendy sneakers,"Rs.8,999.00",https://www.servis.pk/collections/men
339,Men's trendy sneakers,"Rs.8,999.00",https://www.servis.pk/collections/men
340,Men's athletic sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
341,Men's smart sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
342,Men's smart sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
343,Men's sports sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
344,Men's sports sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
345,Men's dailywear sneakers,"Rs.3,699.00",https://www.servis.pk/collections/men
346,Men's stylish sneakers,"Rs.11,999.00",https://www.servis.pk/collections/men
347,Men's stylish sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
348,Men's athletic sneakers,"Rs.10,999.00",https://www.servis.pk/collections/men
349,Men's Everyday Sneakers,"Rs.4,999.00",https://www.servis.pk/collections/men
350,Men's Everyday Sneakers,"Rs.4,999.00",https://www.servis.pk/collections/men
